"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"HO068405.1" 213.610877061806 -9.11488490480008 2.40501471420468 -3.78994974582278 0.000150677765735803 0.00558305908989601
"HO068418.1" 105.519503672622 -8.09753888651078 2.40062526455088 -3.37309575387882 0.000743280994463168 0.0148413992029043
"HO068421.1" 216.482018630407 -9.13411186669935 2.39144410909555 -3.81949627505779 0.000133724478859734 0.00520593708058891
"HO068434.1" 47.6191427144438 -6.94951223752699 2.42447855495697 -2.8663945999103 0.00415176384237366 0.035483605846128
"HO068447.1" 98.5091519040626 -6.3370801156353 2.28281758638165 -2.77599057999189 0.00550338029527333 0.0405183212415626
"HO068450.1" 46.0692833952555 -6.90298348806941 2.56069528657302 -2.69574577040273 0.00702312461831931 0.0447241108399262
"HO068471.1" 60.3807745874702 -7.29095320487106 2.45145610790162 -2.97413165235576 0.00293818983376698 0.0296542957750037
"HO068509.1" 67.8286930453924 -6.12185682574334 2.27476428853626 -2.69120491146912 0.00711944508056013 0.0452018583531722
"HO068512.1" 553.318587410213 5.74590798325687 2.10679062622787 2.72732748652138 0.00638496349141844 0.0431552716270494
"HO068517.1" 70.3330808955867 -7.51291654332258 2.57545940160852 -2.91711705439051 0.00353283164149518 0.0328105838140058
"HO068541.1" 51.9732178498158 -7.07514363585607 2.42066431239227 -2.92281073407651 0.00346887302524609 0.0324137276934037
"HO068552.1" 514.969689871261 -7.50702952610856 2.08467372839292 -3.60105728961997 0.000316925724793309 0.00884002027887407
"HO068573.1" 97.8492494444934 -7.98866754648149 2.40076695680042 -3.32754810867951 0.000876138598594362 0.0158231145618964
"HO068601.1" 159.170304455555 -8.69050409245844 2.39503770515951 -3.6285458361415 0.000285022150390714 0.00832279524044551
"HO068619.1" 316.497801644092 -9.68201579536459 2.40369320299565 -4.02797486105889 5.62593573881671e-05 0.00292840685709285
"HO068630.1" 147.104736983084 -8.57697512185338 2.53592820106607 -3.38218373779184 0.00071912028566872 0.0146077821797162
"HO068640.1" 36.7659664236709 -6.57698432466485 2.46194539570164 -2.67145824442237 0.00755224679504742 0.0462497778879665
"HO068641.1" 317.746125172729 -9.68766585850299 2.3852637988917 -4.06146517756415 4.8765692997909e-05 0.00264159282891572
"HO068696.1" 55.251472555143 -7.16497833130849 2.57012051201511 -2.78779858680275 0.00530675257738694 0.0399896617273117
"HO068713.1" 184.010288817121 -5.58416442081148 1.97728637817041 -2.82415561168156 0.00474053628909141 0.0378392597747242
"HO068756.1" 148.46251441331 -8.59022245408303 2.56322652456987 -3.3513317577441 0.000804238906939177 0.0153283486123458
"HO068790.1" 170.333863674603 -8.78808339536012 2.36689823379634 -3.71291138329367 0.000204888642602646 0.00689914819670712
